site,issue_id,version,issue_time_utc,version_as_of_utc,target_time_utc,target_time_data_clock,target_time_kz_official,lead_h,product,entity,mean,p10,p50,p90,mw_mean
shelek,2026-02-25_0000,1,2026-02-24T18:00:00Z,2026-02-24T18:00:00Z,2026-02-24T18:00:00Z,2026-02-25 00:00,2026-02-24 23:00,0,intraday,farm,0.0268,0.0085,0.0235,0.0331,
shelek,2026-02-25_0000,1,2026-02-24T18:00:00Z,2026-02-24T18:00:00Z,2026-02-24T19:00:00Z,2026-02-25 01:00,2026-02-25 00:00,1,intraday,farm,0.0076,0.0057,0.0094,0.0281,
shelek,2026-02-25_0000,1,2026-02-24T18:00:00Z,2026-02-24T18:00:00Z,2026-02-24T20:00:00Z,2026-02-25 02:00,2026-02-25 01:00,2,intraday,farm,0.0417,0.0086,0.0176,0.047,
shelek,2026-02-25_0000,1,2026-02-24T18:00:00Z,2026-02-24T18:00:00Z,2026-02-24T21:00:00Z,2026-02-25 03:00,2026-02-25 02:00,3,intraday,farm,0.0558,0.0082,0.0253,0.0842,
shelek,2026-02-25_0000,1,2026-02-24T18:00:00Z,2026-02-24T18:00:00Z,2026-02-24T22:00:00Z,2026-02-25 04:00,2026-02-25 03:00,4,intraday,farm,0.0531,0.0082,0.0211,0.0737,
shelek,2026-02-25_0000,1,2026-02-24T18:00:00Z,2026-02-24T18:00:00Z,2026-02-24T23:00:00Z,2026-02-25 05:00,2026-02-25 04:00,5,intraday,farm,0.0797,0.0076,0.0291,0.0797,
shelek,2026-02-25_0000,1,2026-02-24T18:00:00Z,2026-02-24T18:00:00Z,2026-02-25T00:00:00Z,2026-02-25 06:00,2026-02-25 05:00,6,intraday,farm,0.0356,0.007,0.0345,0.0356,
shelek,2026-02-25_0000,1,2026-02-24T18:00:00Z,2026-02-24T18:00:00Z,2026-02-25T01:00:00Z,2026-02-25 07:00,2026-02-25 06:00,7,intraday,farm,0.1181,0.0048,0.0716,0.1181,
shelek,2026-02-25_0000,1,2026-02-24T18:00:00Z,2026-02-24T18:00:00Z,2026-02-25T02:00:00Z,2026-02-25 08:00,2026-02-25 07:00,8,intraday,farm,0.1581,0.004,0.1042,0.2022,
shelek,2026-02-25_0000,1,2026-02-24T18:00:00Z,2026-02-24T18:00:00Z,2026-02-25T03:00:00Z,2026-02-25 09:00,2026-02-25 08:00,9,intraday,farm,0.0557,0.0049,0.0741,0.1388,
shelek,2026-02-25_0000,1,2026-02-24T18:00:00Z,2026-02-24T18:00:00Z,2026-02-25T04:00:00Z,2026-02-25 10:00,2026-02-25 09:00,10,intraday,farm,0.0591,0.0047,0.0622,0.1807,
shelek,2026-02-25_0000,1,2026-02-24T18:00:00Z,2026-02-24T18:00:00Z,2026-02-25T05:00:00Z,2026-02-25 11:00,2026-02-25 10:00,11,intraday,farm,0.0521,0.0068,0.0471,0.1809,
shelek,2026-02-25_0000,1,2026-02-24T18:00:00Z,2026-02-24T18:00:00Z,2026-02-25T06:00:00Z,2026-02-25 12:00,2026-02-25 11:00,12,intraday,farm,0.0696,0.0074,0.0382,0.1662,
shelek,2026-02-25_0000,1,2026-02-24T18:00:00Z,2026-02-24T18:00:00Z,2026-02-25T07:00:00Z,2026-02-25 13:00,2026-02-25 12:00,13,intraday,farm,0.0669,0.0083,0.0206,0.1333,
shelek,2026-02-25_0000,1,2026-02-24T18:00:00Z,2026-02-24T18:00:00Z,2026-02-25T08:00:00Z,2026-02-25 14:00,2026-02-25 13:00,14,intraday,farm,0.0387,0.0083,0.0204,0.0387,
shelek,2026-02-25_0000,1,2026-02-24T18:00:00Z,2026-02-24T18:00:00Z,2026-02-25T09:00:00Z,2026-02-25 15:00,2026-02-25 14:00,15,intraday,farm,0.0236,0.0085,0.019,0.0236,
shelek,2026-02-25_0000,1,2026-02-24T18:00:00Z,2026-02-24T18:00:00Z,2026-02-25T10:00:00Z,2026-02-25 16:00,2026-02-25 15:00,16,intraday,farm,0.032,0.009,0.015,0.0337,
shelek,2026-02-25_0000,1,2026-02-24T18:00:00Z,2026-02-24T18:00:00Z,2026-02-25T11:00:00Z,2026-02-25 17:00,2026-02-25 16:00,17,intraday,farm,0.0643,0.0084,0.0165,0.1603,
shelek,2026-02-25_0000,1,2026-02-24T18:00:00Z,2026-02-24T18:00:00Z,2026-02-25T12:00:00Z,2026-02-25 18:00,2026-02-25 17:00,18,intraday,farm,0.061,0.0051,0.0652,0.1976,
