issue_id,version,target_time_utc,model,init_time_utc,offset_days,ws10,ws100,wd100,t2m,sp,source
2026-02-25_0000,1,2026-02-24T18:00:00Z,ecmwf_aifs025_single,2026-02-23T18:00:00Z,1,0.22,0.36,214.0,-1.5,958.2,live
2026-02-25_0000,1,2026-02-24T19:00:00Z,ecmwf_aifs025_single,2026-02-23T18:00:00Z,1,0.2,0.41,104.0,-1.6,958.0,live
2026-02-25_0000,1,2026-02-24T20:00:00Z,ecmwf_aifs025_single,2026-02-23T18:00:00Z,1,0.54,1.1,85.0,-1.7,957.7,live
2026-02-25_0000,1,2026-02-24T21:00:00Z,ecmwf_aifs025_single,2026-02-23T18:00:00Z,1,0.85,1.61,83.0,-1.8,957.3,live
2026-02-25_0000,1,2026-02-24T22:00:00Z,ecmwf_aifs025_single,2026-02-23T18:00:00Z,1,1.08,2.14,79.0,-1.8,956.9,live
2026-02-25_0000,1,2026-02-24T23:00:00Z,ecmwf_aifs025_single,2026-02-23T18:00:00Z,1,1.26,2.55,79.0,-1.8,956.6,live
2026-02-25_0000,1,2026-02-25T00:00:00Z,ecmwf_aifs025_single,2026-02-24T00:00:00Z,1,1.49,2.86,78.0,-1.6,956.3,live
2026-02-25_0000,1,2026-02-25T01:00:00Z,ecmwf_aifs025_single,2026-02-24T00:00:00Z,1,1.62,2.98,76.0,-1.3,956.2,live
2026-02-25_0000,1,2026-02-25T02:00:00Z,ecmwf_aifs025_single,2026-02-24T00:00:00Z,1,1.71,2.98,76.0,-0.9,956.1,live
2026-02-25_0000,1,2026-02-25T03:00:00Z,ecmwf_aifs025_single,2026-02-24T00:00:00Z,1,1.8,2.89,76.0,-0.4,956.1,live
2026-02-25_0000,1,2026-02-25T04:00:00Z,ecmwf_aifs025_single,2026-02-24T00:00:00Z,1,1.8,2.69,75.0,0.1,956.2,live
2026-02-25_0000,1,2026-02-25T05:00:00Z,ecmwf_aifs025_single,2026-02-24T00:00:00Z,1,1.8,2.47,76.0,0.6,956.1,live
2026-02-25_0000,1,2026-02-25T06:00:00Z,ecmwf_aifs025_single,2026-02-24T06:00:00Z,1,1.71,2.18,74.0,0.9,956.0,live
2026-02-25_0000,1,2026-02-25T07:00:00Z,ecmwf_aifs025_single,2026-02-24T06:00:00Z,1,1.52,1.77,74.0,1.1,955.8,live
2026-02-25_0000,1,2026-02-25T08:00:00Z,ecmwf_aifs025_single,2026-02-24T06:00:00Z,1,1.12,1.21,66.0,1.3,955.5,live
2026-02-25_0000,1,2026-02-25T09:00:00Z,ecmwf_aifs025_single,2026-02-24T06:00:00Z,1,0.64,0.64,51.0,1.4,955.3,live
2026-02-25_0000,1,2026-02-25T10:00:00Z,ecmwf_aifs025_single,2026-02-24T06:00:00Z,1,0.41,0.32,342.0,1.4,955.0,live
2026-02-25_0000,1,2026-02-25T11:00:00Z,ecmwf_aifs025_single,2026-02-24T06:00:00Z,1,0.36,0.45,297.0,1.3,954.6,live
